Tarefa,Bloco,Dono,Empresa,Esforço,Impacto,Movimento mínimo,Notas,Origem,Prazo,Prioridade saudável,Projeto,Projeto sugerido (legado),Retorno,Status,Tipo de energia
"🚨 Resolver fatura AMP atrasada — R$3.051,53 desde 15/04",⚙️ Admin & Finanças,Erick,AMP213,Baixo,Alto,"Ligar para o banco, informar atraso, solicitar renegociação sem juros adicionais OU pagar o mínimo agora pelo app.",ATRASO DESDE 15/04. Juros correndo há 21 dias. Cada dia custa mais.,Google Tasks,06/05/2026,Hoje,BICA + AMP — Financeiro (https://www.notion.so/BICA-AMP-Financeiro-23273fa6ae268370ba2201ae216211cc?pvs=21),Gestão Financeira Bica + AMP213,Alto,A fazer,Admin
Criar e enviar checklist de abertura Bica para Ruan e Lana,💼 Execução,Erick,Bica Bar Sensorial,Baixo,Alto,"Criar checklist simples no Google Docs ou Notion: abertura, operação, fechamento. Enviar link para Ruan e Lana.",Ruan e Lana já operam mas sem protocolo documentado. Risco operacional diário.,Claude,07/05/2026,Hoje,Bica — Operação Sensorial (https://www.notion.so/Bica-Opera-o-Sensorial-e280a440ee5c46c3976341c3b14ed4e3?pvs=21),Operação Bica,Alto,A fazer,Execução
Pagar Nubank Sollu + Pessoal — vence 10/05,⚙️ Admin & Finanças,Erick,Pessoal do Erick,Baixo,Alto,Abrir app Nubank e pagar ambos os cartões antes do vencimento.,Vencimento 10/05. Dois cartões: Sollu + Pessoal.,Google Tasks,08/05/2026,Hoje,"Sollu — Financeiro (https://www.notion.so/Sollu-Financeiro-71904feeb0854b1082e3186d38b98303?pvs=21), Erick — Vida Financeira (https://www.notion.so/Erick-Vida-Financeira-49073fa6ae268277814581fa3da1c116?pvs=21)",Gestão Financeira Pessoal — Erick,Alto,A fazer,Admin
Mapear e cancelar assinaturas mortas — todas as empresas,🤝 Reunião/Gabriel,Gabriel + Erick,Sollu,Médio,Alto,Erick envia lista de assinaturas ativas. Gabriel mapeia o que pode ser substituído por IA gratuita.,Sangria mensal silenciosa. Estimativa: R$300-800/mês em ferramentas sem uso.,Claude,09/05/2026,Esta semana,"BICA + AMP — Financeiro (https://www.notion.so/BICA-AMP-Financeiro-23273fa6ae268370ba2201ae216211cc?pvs=21), Sollu — Financeiro (https://www.notion.so/Sollu-Financeiro-71904feeb0854b1082e3186d38b98303?pvs=21), Erick — Vida Financeira (https://www.notion.so/Erick-Vida-Financeira-49073fa6ae268277814581fa3da1c116?pvs=21)",Gestão Financeira Bica + AMP213,Alto,A fazer,Admin
Montar calendário de vencimentos — próximos 30 dias,⚙️ Admin & Finanças,Erick,Pessoal do Erick,Médio,Alto,"Abrir planilha, listar todos os vencimentos dos próximos 30 dias: cartões, aluguel, plano de saúde, fornecedores",Cartão AMP ficou 21 dias em atraso por falta desse controle.,Claude,09/05/2026,Esta semana,Erick — Vida Financeira (https://www.notion.so/Erick-Vida-Financeira-49073fa6ae268277814581fa3da1c116?pvs=21),Gestão Financeira Pessoal — Erick,Alto,A fazer,Admin
"Definir próximo DALE: data, formato, preço e estrutura de MKT",🎯 Foco Profundo,Erick,AMP213,Médio,Alto,"Definir: data do próximo DALE, capacidade, preço do ingresso, linha de MKT e responsável por cada etapa.",DALE tem demanda real mas sem estrutura de produto. Risco de crescer sem margem.,Claude,09/05/2026,Esta semana,AMP213 — DALE (https://www.notion.so/AMP213-DALE-de773fa6ae2682a2aa7d8167849bfd38?pvs=21),DALE — Festa periódica AMP213,Alto,A fazer,Foco profundo
Campanha de avaliações Google + TripAdvisor — Bica,📬 Comunicação & Ops,Erick,Bica Bar Sensorial,Baixo,Médio,Montar mensagem simples pedindo avaliação no Google com link direto. Enviar para lista de clientes via WhatsApp.,Reputação digital impacta diretamente novos clientes. Gestão de reputação é core Sollu e pode ser aplicada ao Bica também.,Lembretes,09/05/2026,Esta semana,Bica — Marketing & Conteúdo (https://www.notion.so/Bica-Marketing-Conte-do-45673fa6ae26834eb070813455a1af6b?pvs=21),Marketing Bica,Alto,A fazer,Execução
Pagar aluguel AMP213 — vence 10/05,⚙️ Admin & Finanças,Erick,AMP213,Baixo,Alto,Verificar boleto do aluguel no banco ou com Lana e processar pagamento.,Vencimento dia 10/05. Recorrência mensal.,Google Tasks,10/05/2026,Esta semana,BICA + AMP — Financeiro (https://www.notion.so/BICA-AMP-Financeiro-23273fa6ae268370ba2201ae216211cc?pvs=21),Gestão Financeira Bica + AMP213,Alto,A fazer,Admin
Configurar Whascale — fluxo de atendimento WhatsApp Sollu,🎯 Foco Profundo,Gabriel + Erick,Sollu,Alto,Alto,"Configurar Whascale com fluxo básico: recepção, qualificação, encaminhamento. Delegar operação para Thaynan.",Ferramenta já adquirida. Gargalo é configuração e treinamento.,Claude,12/05/2026,Esta semana,Sollu — Automação Operacional (https://www.notion.so/Sollu-Automa-o-Operacional-69273fa6ae26830baf0f019e9c663c05?pvs=21),Automação Operacional Sollu,Alto,A fazer,Foco profundo
Mapear processo comercial Sollu — da captação ao fechamento,🎯 Foco Profundo,Erick,Sollu,Alto,Alto,"Mapear: quem prospecta, quem qualifica, quem apresenta, quem fecha. O que é só do Erick e o que pode ser delegado.",Gargalo principal identificado: Erick é o único ponto de fechamento. Isso limita escala.,Claude,12/05/2026,Esta semana,Sollu — Vendas (https://www.notion.so/Sollu-Vendas-dbb73fa6ae268334af708184abda6eb6?pvs=21),Comercial Sollu,Alto,A fazer,Foco profundo
