Tarefa,Empresa,Status,Dono,Prazo,Projeto sugerido (legado),Prioridade saudável,Movimento mínimo,Bloco,Esforço,Impacto,Notas,Origem,Retorno,Tipo de energia,Projeto
"🚨 Resolver fatura AMP atrasada — R$3.051,53 desde 15/04",AMP213,A fazer,Erick,06/05/2026,Gestão Financeira Bica + AMP213,Hoje,"Ligar para o banco, informar atraso, solicitar renegociação sem juros adicionais OU pagar o mínimo agora pelo app.",⚙️ Admin & Finanças,Baixo,Alto,ATRASO DESDE 15/04. Juros correndo há 21 dias. Cada dia custa mais.,Google Tasks,Alto,Admin,BICA + AMP — Financeiro (https://www.notion.so/BICA-AMP-Financeiro-23273fa6ae268370ba2201ae216211cc?pvs=21)
Criar e enviar checklist de abertura Bica para Ruan e Lana,Bica Bar Sensorial,A fazer,Erick,07/05/2026,Operação Bica,Hoje,"Criar checklist simples no Google Docs ou Notion: abertura, operação, fechamento. Enviar link para Ruan e Lana.",💼 Execução,Baixo,Alto,Ruan e Lana já operam mas sem protocolo documentado. Risco operacional diário.,Claude,Alto,Execução,Bica — Operação Sensorial (https://www.notion.so/Bica-Opera-o-Sensorial-e280a440ee5c46c3976341c3b14ed4e3?pvs=21)
Pagar Nubank Sollu + Pessoal — vence 10/05,Pessoal do Erick,A fazer,Erick,08/05/2026,Gestão Financeira Pessoal — Erick,Hoje,Abrir app Nubank e pagar ambos os cartões antes do vencimento.,⚙️ Admin & Finanças,Baixo,Alto,Vencimento 10/05. Dois cartões: Sollu + Pessoal.,Google Tasks,Alto,Admin,"Sollu — Financeiro (https://www.notion.so/Sollu-Financeiro-71904feeb0854b1082e3186d38b98303?pvs=21), Erick — Vida Financeira (https://www.notion.so/Erick-Vida-Financeira-49073fa6ae268277814581fa3da1c116?pvs=21)"
Campanha de avaliações Google + TripAdvisor — Bica,Bica Bar Sensorial,A fazer,Erick,09/05/2026,Marketing Bica,Esta semana,Montar mensagem simples pedindo avaliação no Google com link direto. Enviar para lista de clientes via WhatsApp.,📬 Comunicação & Ops,Baixo,Médio,Reputação digital impacta diretamente novos clientes. Gestão de reputação é core Sollu e pode ser aplicada ao Bica também.,Lembretes,Alto,Execução,Bica — Marketing & Conteúdo (https://www.notion.so/Bica-Marketing-Conte-do-45673fa6ae26834eb070813455a1af6b?pvs=21)
"Definir próximo DALE: data, formato, preço e estrutura de MKT",AMP213,A fazer,Erick,09/05/2026,DALE — Festa periódica AMP213,Esta semana,"Definir: data do próximo DALE, capacidade, preço do ingresso, linha de MKT e responsável por cada etapa.",🎯 Foco Profundo,Médio,Alto,DALE tem demanda real mas sem estrutura de produto. Risco de crescer sem margem.,Claude,Alto,Foco profundo,AMP213 — DALE (https://www.notion.so/AMP213-DALE-de773fa6ae2682a2aa7d8167849bfd38?pvs=21)
Montar calendário de vencimentos — próximos 30 dias,Pessoal do Erick,A fazer,Erick,09/05/2026,Gestão Financeira Pessoal — Erick,Esta semana,"Abrir planilha, listar todos os vencimentos dos próximos 30 dias: cartões, aluguel, plano de saúde, fornecedores",⚙️ Admin & Finanças,Médio,Alto,Cartão AMP ficou 21 dias em atraso por falta desse controle.,Claude,Alto,Admin,Erick — Vida Financeira (https://www.notion.so/Erick-Vida-Financeira-49073fa6ae268277814581fa3da1c116?pvs=21)
Mapear e cancelar assinaturas mortas — todas as empresas,Sollu,A fazer,Gabriel + Erick,09/05/2026,Gestão Financeira Bica + AMP213,Esta semana,Erick envia lista de assinaturas ativas. Gabriel mapeia o que pode ser substituído por IA gratuita.,🤝 Reunião/Gabriel,Médio,Alto,Sangria mensal silenciosa. Estimativa: R$300-800/mês em ferramentas sem uso.,Claude,Alto,Admin,"BICA + AMP — Financeiro (https://www.notion.so/BICA-AMP-Financeiro-23273fa6ae268370ba2201ae216211cc?pvs=21), Sollu — Financeiro (https://www.notion.so/Sollu-Financeiro-71904feeb0854b1082e3186d38b98303?pvs=21), Erick — Vida Financeira (https://www.notion.so/Erick-Vida-Financeira-49073fa6ae268277814581fa3da1c116?pvs=21)"
Pagar aluguel AMP213 — vence 10/05,AMP213,A fazer,Erick,10/05/2026,Gestão Financeira Bica + AMP213,Esta semana,Verificar boleto do aluguel no banco ou com Lana e processar pagamento.,⚙️ Admin & Finanças,Baixo,Alto,Vencimento dia 10/05. Recorrência mensal.,Google Tasks,Alto,Admin,BICA + AMP — Financeiro (https://www.notion.so/BICA-AMP-Financeiro-23273fa6ae268370ba2201ae216211cc?pvs=21)
Montar DRE Sollu — primeiro mês,Sollu,A fazer,Erick,12/05/2026,Gestão Financeira Pessoal — Erick,Esta semana,"Abrir conta de resultados Sollu: receita do mês, custos fixos, custos variáveis, margem real.",🎯 Foco Profundo,Alto,Alto,"Sem DRE, qualquer decisão de investimento é chútes. Prioridade alta.",Claude,Alto,Foco profundo,Sollu — Financeiro (https://www.notion.so/Sollu-Financeiro-71904feeb0854b1082e3186d38b98303?pvs=21)
Mapear processo comercial Sollu — da captação ao fechamento,Sollu,A fazer,Erick,12/05/2026,Comercial Sollu,Esta semana,"Mapear: quem prospecta, quem qualifica, quem apresenta, quem fecha. O que é só do Erick e o que pode ser delegado.",🎯 Foco Profundo,Alto,Alto,Gargalo principal identificado: Erick é o único ponto de fechamento. Isso limita escala.,Claude,Alto,Foco profundo,Sollu — Vendas (https://www.notion.so/Sollu-Vendas-dbb73fa6ae268334af708184abda6eb6?pvs=21)
Configurar Whascale — fluxo de atendimento WhatsApp Sollu,Sollu,A fazer,Gabriel + Erick,12/05/2026,Automação Operacional Sollu,Esta semana,"Configurar Whascale com fluxo básico: recepção, qualificação, encaminhamento. Delegar operação para Thaynan.",🎯 Foco Profundo,Alto,Alto,Ferramenta já adquirida. Gargalo é configuração e treinamento.,Claude,Alto,Foco profundo,Sollu — Automação Operacional (https://www.notion.so/Sollu-Automa-o-Operacional-69273fa6ae26830baf0f019e9c663c05?pvs=21)
Pagar cartão CEF VISA — vence 15/05,Pessoal do Erick,A fazer,Erick,13/05/2026,Gestão Financeira Pessoal — Erick,Esta semana,Acessar internet banking CEF e pagar antes do vencimento.,⚙️ Admin & Finanças,Baixo,Alto,Vencimento 15/05.,Google Tasks,Alto,Admin,Erick — Vida Financeira (https://www.notion.so/Erick-Vida-Financeira-49073fa6ae268277814581fa3da1c116?pvs=21)
Pagar Recarga Pay — vence 16/05,Pessoal do Erick,A fazer,Erick,14/05/2026,Gestão Financeira Pessoal — Erick,Esta semana,Acessar app Recarga Pay e pagar antes do vencimento.,⚙️ Admin & Finanças,Baixo,Alto,Vencimento 16/05.,Google Tasks,Alto,Admin,Erick — Vida Financeira (https://www.notion.so/Erick-Vida-Financeira-49073fa6ae268277814581fa3da1c116?pvs=21)
,,,,,,,,,,,,,,,
"Pagar MEGA WINE COMÉRCIO DE VINHOS — R$ 298,80",Bica Bar Sensorial,A fazer,Erick,,,Hoje,Verificar se já foi pago ou processar pagamento,⚙️ Admin & Finanças,Baixo,Alto,"Vencimento 30/04. Valor R$ 298,80.",Google Tasks,Alto,Admin,BICA + AMP — Financeiro (https://www.notion.so/BICA-AMP-Financeiro-23273fa6ae268370ba2201ae216211cc?pvs=21)
Revisar assinaturas geral — pessoal + empresas,Pessoal do Erick,A fazer,Erick,,,Esta semana,Abrir plataforma e mapear todas as assinaturas ativas + custos,⚙️ Admin & Finanças,Médio,Alto,,Lembretes,Alto,Admin,"Erick — Vida Financeira (https://www.notion.so/Erick-Vida-Financeira-49073fa6ae268277814581fa3da1c116?pvs=21), BICA + AMP — Financeiro (https://www.notion.so/BICA-AMP-Financeiro-23273fa6ae268370ba2201ae216211cc?pvs=21), Sollu — Financeiro (https://www.notion.so/Sollu-Financeiro-71904feeb0854b1082e3186d38b98303?pvs=21)"
